Confianza,Soporte,R. acierto,FP,FN,Total
0.0,0.0,0.204,1593,0,117920
0.0,0.0,0.204,1593,0,107513
0.0,0.001,0.204,1593,0,99621
0.0,0.001,0.204,1593,0,85343
0.0,0.001,0.204,1593,0,74415
0.0,0.002,0.204,1593,0,59835
0.0,0.002,0.204,1593,0,48403
0.0,0.003,0.204,1593,0,36301
0.0,0.006,0.204,1593,0,23602
0.0,0.011,0.204,1593,0,11869
0.0,1.0,0.796,0,407,0
0.2,0.0,0.204,1593,0,117917
0.2,0.0,0.204,1593,0,107513
0.2,0.001,0.204,1593,0,99621
0.2,0.001,0.204,1593,0,85343
0.2,0.001,0.204,1593,0,74415
0.2,0.002,0.204,1593,0,59835
0.2,0.002,0.204,1593,0,48403
0.2,0.003,0.204,1593,0,36301
0.2,0.006,0.204,1593,0,23602
0.2,0.011,0.204,1593,0,11869
0.2,1.0,0.796,0,407,0
0.5,0.0,0.204,1593,0,117876
0.5,0.0,0.204,1593,0,107495
0.5,0.001,0.204,1593,0,99609
0.5,0.001,0.204,1593,0,85333
0.5,0.001,0.204,1593,0,74407
0.5,0.002,0.204,1593,0,59830
0.5,0.002,0.204,1593,0,48401
0.5,0.003,0.204,1593,0,36299
0.5,0.006,0.204,1593,0,23602
0.5,0.011,0.204,1593,0,11869
0.5,1.0,0.796,0,407,0
0.8,0.0,0.586,627,200,39870
0.8,0.0,0.734,283,248,36967
0.8,0.001,0.736,280,249,35493
0.8,0.001,0.774,174,278,26085
0.8,0.001,0.794,123,289,21442
0.8,0.002,0.82,37,324,14522
0.8,0.002,0.822,9,347,10036
0.8,0.003,0.822,9,347,6180
0.8,0.006,0.822,9,347,3087
0.8,0.011,0.817,9,357,1128
0.8,1.0,0.796,0,407,0
0.85,0.0,0.688,377,247,22852
0.85,0.0,0.774,165,286,19949
0.85,0.001,0.787,133,293,18475
0.85,0.001,0.8,104,297,16713
0.85,0.001,0.826,17,330,12070
0.85,0.002,0.824,11,342,8046
0.85,0.002,0.822,9,347,5592
0.85,0.003,0.822,9,347,3390
0.85,0.006,0.823,7,347,1855
0.85,0.011,0.818,6,357,808
0.85,1.0,0.796,0,407,0
0.9,0.0,0.746,226,281,12937
0.9,0.0,0.792,106,309,10034
0.9,0.001,0.816,49,319,8560
0.9,0.001,0.824,18,334,6798
0.9,0.001,0.825,14,336,5966
0.9,0.002,0.821,9,349,3537
0.9,0.002,0.822,7,350,2443
0.9,0.003,0.82,7,352,1464
0.9,0.006,0.818,4,359,728
0.9,0.011,0.812,2,375,253
0.9,1.0,0.796,0,407,0
0.95,0.0,0.774,153,298,8532
0.95,0.0,0.796,94,315,5629
0.95,0.001,0.818,40,324,4155
0.95,0.001,0.824,10,341,2393
0.95,0.001,0.822,5,350,1561
0.95,0.002,0.822,5,352,1001
0.95,0.002,0.822,3,354,823
0.95,0.003,0.816,3,364,397
0.95,0.006,0.816,3,365,168
0.95,0.011,0.81,2,377,38
0.95,1.0,0.796,0,407,0
0.98,0.0,0.778,143,302,7873
0.98,0.0,0.796,92,315,4970
0.98,0.001,0.819,38,324,3496
0.98,0.001,0.825,9,341,1734
0.98,0.001,0.822,4,351,902
0.98,0.002,0.82,4,356,342
0.98,0.002,0.816,2,367,164
0.98,0.003,0.814,1,371,79
0.98,0.006,0.808,1,383,30
0.98,0.011,0.796,0,407,1
0.98,1.0,0.796,0,407,0
