Confianza,Soporte,R. acierto,FP,FN,Total
0.0,0.0,0.208,317,0,12081
0.0,0.001,0.208,317,0,11523
0.0,0.001,0.208,317,0,10658
0.0,0.003,0.208,317,0,8400
0.0,0.005,0.208,317,0,4881
0.0,0.01,0.208,317,0,2070
0.0,0.02,0.208,317,0,678
0.0,0.04,0.208,317,0,168
0.0,0.08,0.208,317,0,25
0.0,0.16,0.208,317,0,1
0.0,0.312,0.792,0,83,0
0.0,0.625,0.792,0,83,0
0.2,0.0,0.208,317,0,8428
0.2,0.001,0.208,317,0,8402
0.2,0.001,0.208,317,0,7573
0.2,0.003,0.208,317,0,5881
0.2,0.005,0.208,317,0,3507
0.2,0.01,0.208,317,0,1569
0.2,0.02,0.208,317,0,548
0.2,0.04,0.208,317,0,144
0.2,0.08,0.208,317,0,22
0.2,0.16,0.208,317,0,1
0.2,0.312,0.792,0,83,0
0.2,0.625,0.792,0,83,0
0.5,0.0,0.545,168,14,2421
0.5,0.001,0.545,168,14,2395
0.5,0.001,0.588,150,15,1782
0.5,0.003,0.632,130,17,1008
0.5,0.005,0.662,108,27,388
0.5,0.01,0.695,76,46,73
0.5,0.02,0.79,21,63,7
0.5,0.04,0.792,0,83,0
0.5,0.08,0.792,0,83,0
0.5,0.16,0.792,0,83,0
0.5,0.312,0.792,0,83,0
0.5,0.625,0.792,0,83,0
0.6,0.0,0.675,108,22,1191
0.6,0.001,0.675,108,22,1165
0.6,0.001,0.69,100,24,1075
0.6,0.003,0.73,77,31,543
0.6,0.005,0.762,51,44,195
0.6,0.01,0.805,16,62,27
0.6,0.02,0.805,3,75,2
0.6,0.04,0.792,0,83,0
0.6,0.08,0.792,0,83,0
0.6,0.16,0.792,0,83,0
0.6,0.312,0.792,0,83,0
0.6,0.625,0.792,0,83,0
0.7,0.0,0.738,73,32,636
0.7,0.001,0.738,73,32,610
0.7,0.001,0.76,59,37,520
0.7,0.003,0.805,32,46,337
0.7,0.005,0.81,14,62,119
0.7,0.01,0.8,6,74,19
0.7,0.02,0.805,3,75,2
0.7,0.04,0.792,0,83,0
0.7,0.08,0.792,0,83,0
0.7,0.16,0.792,0,83,0
0.7,0.312,0.792,0,83,0
0.7,0.625,0.792,0,83,0
0.8,0.0,0.75,59,41,454
0.8,0.001,0.75,59,41,428
0.8,0.001,0.782,41,46,338
0.8,0.003,0.818,19,54,261
0.8,0.005,0.808,8,69,95
0.8,0.01,0.805,3,75,18
0.8,0.02,0.805,3,75,2
0.8,0.04,0.792,0,83,0
0.8,0.08,0.792,0,83,0
0.8,0.16,0.792,0,83,0
0.8,0.312,0.792,0,83,0
0.8,0.625,0.792,0,83,0
0.85,0.0,0.75,54,46,352
0.85,0.001,0.75,54,46,326
0.85,0.001,0.785,35,51,236
0.85,0.003,0.818,12,61,159
0.85,0.005,0.808,3,74,83
0.85,0.01,0.805,3,75,15
0.85,0.02,0.805,3,75,2
0.85,0.04,0.792,0,83,0
0.85,0.08,0.792,0,83,0
0.85,0.16,0.792,0,83,0
0.85,0.312,0.792,0,83,0
0.85,0.625,0.792,0,83,0
0.9,0.0,0.748,54,47,291
0.9,0.001,0.748,54,47,265
0.9,0.001,0.782,35,52,175
0.9,0.003,0.815,11,63,98
0.9,0.005,0.805,3,75,61
0.9,0.01,0.808,2,75,10
0.9,0.02,0.798,2,79,1
0.9,0.04,0.792,0,83,0
0.9,0.08,0.792,0,83,0
0.9,0.16,0.792,0,83,0
0.9,0.312,0.792,0,83,0
0.9,0.625,0.792,0,83,0
0.95,0.0,0.748,54,47,243
0.95,0.001,0.748,54,47,217
0.95,0.001,0.782,35,52,127
0.95,0.003,0.815,11,63,50
0.95,0.005,0.808,2,75,13
0.95,0.01,0.808,2,75,2
0.95,0.02,0.798,2,79,1
0.95,0.04,0.792,0,83,0
0.95,0.08,0.792,0,83,0
0.95,0.16,0.792,0,83,0
0.95,0.312,0.792,0,83,0
0.95,0.625,0.792,0,83,0
