Confianza,Soporte,R. acierto,FP,FN,Total
0.0,0.0,0.786,240,187,2347
0.0,0.0005,0.814,169,202,1629
0.0,0.0009,0.822,144,212,1156
0.0,0.0015,0.823,127,227,700
0.0,0.0029,0.826,102,247,275
0.0,0.0069,0.826,79,270,42
0.0,0.7088,0.796,0,407,0
0.2,0.0,0.786,240,187,2347
0.2,0.0005,0.814,169,202,1629
0.2,0.0009,0.822,144,212,1156
0.2,0.0015,0.823,127,227,700
0.2,0.0029,0.826,102,247,275
0.2,0.0069,0.826,79,270,42
0.2,0.7088,0.796,0,407,0
0.5,0.0,0.786,240,187,2347
0.5,0.0005,0.814,169,202,1629
0.5,0.0009,0.822,144,212,1156
0.5,0.0015,0.823,127,227,700
0.5,0.0029,0.826,102,247,275
0.5,0.0069,0.826,79,270,42
0.5,0.7088,0.796,0,407,0
0.8,0.0,0.812,53,324,1142
0.8,0.0005,0.812,53,324,1142
0.8,0.0009,0.821,25,333,813
0.8,0.0015,0.818,16,348,511
0.8,0.0029,0.817,9,357,202
0.8,0.0069,0.817,9,357,29
0.8,0.7088,0.796,0,407,0
0.9,0.0,0.82,12,349,366
0.9,0.0005,0.82,12,349,366
0.9,0.0009,0.82,12,349,366
0.9,0.0015,0.816,7,361,260
0.9,0.0029,0.816,7,362,103
0.9,0.0069,0.814,4,369,9
0.9,0.7088,0.796,0,407,0
0.95,0.0,0.816,3,364,88
0.95,0.0005,0.816,3,364,88
0.95,0.0009,0.816,3,364,88
0.95,0.0015,0.816,3,364,88
0.95,0.0029,0.812,3,372,48
0.95,0.0069,0.81,2,377,4
0.95,0.7088,0.796,0,407,0
