Objetos,Tiempo,Conceptos,Implicaciones,Resultados
10,0.03388214111328125,74,81,"(np.float64(0.5), np.int64(1), np.int64(0))"
15,0.09017276763916016,172,183,"(np.float64(0.3333333333333333), np.int64(2), np.int64(0))"
20,0.1838693618774414,267,260,"(np.float64(0.25), np.int64(3), np.int64(0))"
30,0.35245370864868164,586,573,"(np.float64(0.16666666666666666), np.int64(5), np.int64(0))"
50,1.2179865837097168,1367,1014,"(np.float64(0.2), np.int64(8), np.int64(0))"
100,6.099836587905884,3348,2245,"(np.float64(0.2), np.int64(16), np.int64(0))"
150,14.901398420333862,5559,3798,"(np.float64(0.2), np.int64(24), np.int64(0))"
200,31.34298849105835,7770,4874,"(np.float64(0.2), np.int64(32), np.int64(0))"
250,55.59112095832825,10437,4686,"(np.float64(0.26), np.int64(37), np.int64(0))"
300,82.48671317100525,11982,4403,"(np.float64(0.2833333333333333), np.int64(43), np.int64(0))"
