PassengerId,Survived,FareGroup_0-64,FareGroup_64-128,FareGroup_128-192,FareGroup_192-256,FareGroup_256-320,FareGroup_320-384,FareGroup_384-448,FareGroup_448-513,AgeGroup_0-20,AgeGroup_20-40,AgeGroup_40-60,AgeGroup_60-81,Embarked_C,Embarked_Q,Embarked_S,Pclass_1,Pclass_2,Pclass_3,SibSpGroup_0-1,SibSpGroup_1-3,SibSpGroup_3-5,SibSpGroup_5-7,SibSpGroup_7+,ParchGroup_0-1,ParchGroup_1-3,ParchGroup_3-5,ParchGroup_5+,Male,Female,NotSurvived
483,,X,,,,,,,,,,X,,,,X,,,X,X,,,,,X,,,,X,,X
339,X,X,,,,,,,,,,X,,,,X,,,X,X,,,,,X,,,,X,,
379,,X,,,,,,,,X,,,,X,,,,,X,X,,,,,X,,,,X,,X
263,,,X,,,,,,,,,X,,,,X,X,,,,X,,,,,X,,,X,,X
262,X,X,,,,,,,,X,,,,,,X,,,X,,,X,,,,X,,,X,,
198,,X,,,,,,,,,,X,,,,X,,,X,X,,,,,,X,,,X,,X
453,,X,,,,,,,,,X,,,X,,,X,,,X,,,,,X,,,,X,,X
662,,X,,,,,,,,,X,,,X,,,,,X,X,,,,,X,,,,X,,X
184,X,X,,,,,,,,X,,,,,,X,,X,,,X,,,,,X,,,X,,
16,X,X,,,,,,,,,,X,,,,X,,X,,X,,,,,X,,,,,X,
679,,X,,,,,,,,,,X,,,,X,,,X,,X,,,,,,,X,,X,X
208,X,X,,,,,,,,,X,,,X,,,,,X,X,,,,,X,,,,X,,
494,,X,,,,,,,,,,,X,X,,,X,,,X,,,,,X,,,,X,,X
511,X,X,,,,,,,,,X,,,,X,,,,X,X,,,,,X,,,,X,,
756,X,X,,,,,,,,X,,,,,,X,,X,,,X,,,,,X,,,X,,
714,,X,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,X,,X
860,,X,,,,,,,,,X,,,X,,,,,X,X,,,,,X,,,,X,,X
141,,X,,,,,,,,,X,,,X,,,,,X,X,,,,,,X,,,,X,X
885,,X,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,X,,X
761,,X,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,X,,X
522,,X,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,X,,X
231,X,,X,,,,,,,,X,,,,,X,X,,,,X,,,,X,,,,,X,
827,,X,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,X,,X
28,,,,,,X,,,,X,,,,,,X,X,,,,,X,,,,X,,,X,,X
189,,X,,,,,,,,,X,,,,X,,,,X,,X,,,,,X,,,X,,X
157,X,X,,,,,,,,X,,,,,X,,,,X,X,,,,,X,,,,,X,
720,,X,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,X,,X
786,,X,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,X,,X
547,X,X,,,,,,,,X,,,,,,X,,X,,,X,,,,X,,,,,X,
553,,X,,,,,,,,,X,,,,X,,,,X,X,,,,,X,,,,X,,X
125,,,X,,,,,,,,,X,,,,X,X,,,X,,,,,,X,,,X,,X
862,,X,,,,,,,,,X,,,,,X,,X,,,X,,,,X,,,,X,,X
243,,X,,,,,,,,,X,,,,,X,,X,,X,,,,,X,,,,X,,X
656,,,X,,,,,,,,X,,,,,X,,X,,,X,,,,X,,,,X,,X
599,,X,,,,,,,,,X,,,X,,,,,X,X,,,,,X,,,,X,,X
251,,X,,,,,,,,,X,,,,,X,,,X,X,,,,,X,,,,X,,X
571,X,X,,,,,,,,,,,X,,,X,,X,,X,,,,,X,,,,X,,
84,,X,,,,,,,,,X,,,,,X,X,,,X,,,,,X,,,,X,,X
162,X,X,,,,,,,,,X,,,,,X,,X,,X,,,,,X,,,,,X,
733,,X,,,,,,,,,X,,,,,X,,X,,X,,,,,X,,,,X,,X
