precision,FP,FN,atributos,Total,confianza,soporte,SA,SF
0.631,60,6,26,859,0.5,0.0,4,4
0.631,60,6,26,824,0.5,0.001,4,4
0.631,60,6,26,765,0.5,0.003,4,4
0.631,60,6,26,652,0.5,0.006,4,4
0.631,60,6,26,462,0.5,0.011,4,4
0.631,60,6,26,111,0.5,0.045,4,4
0.777,16,24,26,1,0.5,0.18,4,4
0.771,17,24,26,351,0.8,0.0,4,4
0.771,17,24,26,316,0.8,0.001,4,4
0.771,17,24,26,299,0.8,0.003,4,4
0.771,17,24,26,282,0.8,0.006,4,4
0.771,17,24,26,194,0.8,0.011,4,4
0.765,12,30,26,29,0.8,0.045,4,4
0.615,0,69,26,0,0.8,0.18,4,4
0.777,9,31,26,257,0.85,0.0,4,4
0.777,9,31,26,222,0.85,0.001,4,4
0.782,8,31,26,205,0.85,0.003,4,4
0.782,8,31,26,188,0.85,0.006,4,4
0.782,8,31,26,140,0.85,0.011,4,4
0.782,3,36,26,23,0.85,0.045,4,4
0.615,0,69,26,0,0.85,0.18,4,4
0.765,7,35,26,181,0.9,0.0,4,4
0.765,7,35,26,146,0.9,0.001,4,4
0.771,6,35,26,129,0.9,0.003,4,4
0.782,4,35,26,112,0.9,0.006,4,4
0.782,3,36,26,92,0.9,0.011,4,4
0.777,3,37,26,17,0.9,0.045,4,4
0.615,0,69,26,0,0.9,0.18,4,4
0.715,5,46,26,132,0.95,0.0,4,4
0.715,5,46,26,97,0.95,0.001,4,4
0.721,4,46,26,80,0.95,0.003,4,4
0.732,2,46,26,63,0.95,0.006,4,4
0.715,1,50,26,43,0.95,0.011,4,4
0.687,1,55,26,10,0.95,0.045,4,4
0.615,0,69,26,0,0.95,0.18,4,4
0.631,60,6,27,978,0.5,0.0,4,5
0.631,60,6,27,939,0.5,0.001,4,5
0.631,60,6,27,872,0.5,0.003,4,5
0.631,60,6,27,721,0.5,0.006,4,5
0.631,60,6,27,520,0.5,0.011,4,5
0.631,60,6,27,114,0.5,0.045,4,5
0.777,16,24,27,1,0.5,0.18,4,5
0.771,17,24,27,415,0.8,0.0,4,5
0.771,17,24,27,376,0.8,0.001,4,5
0.771,17,24,27,355,0.8,0.003,4,5
0.771,17,24,27,328,0.8,0.006,4,5
0.771,17,24,27,241,0.8,0.011,4,5
0.765,12,30,27,24,0.8,0.045,4,5
0.615,0,69,27,0,0.8,0.18,4,5
0.771,10,31,27,320,0.85,0.0,4,5
0.777,9,31,27,281,0.85,0.001,4,5
0.782,8,31,27,260,0.85,0.003,4,5
0.782,8,31,27,233,0.85,0.006,4,5
